;character_name;0;1;2;3;4;5;6;7;relative_count
85;FIRENZE;19;0;0;0;45;6;3;73;0.0010219093157673189
86;GELLERT_GRINDELWALD;2;0;0;0;0;0;71;73;0.0010219093157673189
87;MAGDALENA_DURSLEY;5;0;65;0;3;0;0;73;0.0010219093157673189
88;CORMAC_MCLAGGEN;0;0;0;0;0;71;0;71;0.0009939118002668442
89;POMONA_SPROUT;2;24;1;14;12;15;3;71;0.0009939118002668442
90;GODRIC_GRYFFINDOR;1;2;0;1;1;2;61;68;0.0009519155270161326
91;GRAWP;0;0;0;0;48;9;11;68;0.0009519155270161326
92;PANSY_PARKINSON;2;0;5;17;24;17;3;68;0.0009519155270161326
93;FRANK_BRYCE;0;0;0;65;2;0;0;67;0.0009379167692658954
94;MORFIN_GAUNT;0;0;0;0;0;64;0;64;0.0008959204960151836
95;FAWKES;0;29;0;8;15;9;2;63;0.0008819217382649464
96;PHINEAS_NIGELLUS_BLACK;0;0;0;0;21;6;33;60;0.0008399254650142346
97;ALICIA_SPINNET;3;5;17;2;31;0;1;59;0.0008259267072639974
98;MRS_NORRIS;13;24;2;8;7;3;1;58;0.0008119279495137601
99;BARTEMIUS_CROUCH_SR;0;0;0;54;1;1;1;57;0.0007979291917635229
100;MURIEL;0;0;0;0;0;3;54;57;0.0007979291917635229
101;CORBAN_YAXLEY;0;0;0;0;0;1;55;56;0.0007839304340132857
102;ARIANA_DUMBLEDORE;0;0;0;0;0;0;55;55;0.0007699316762630484
103;ARABELLA_FIGG;8;0;0;3;41;1;0;53;0.0007419341607625739
104;ELPHIAS_DODGE;0;0;0;0;2;0;51;53;0.0007419341607625739
105;REGULUS_BLACK;0;0;0;0;3;3;46;52;0.0007279354030123367
106;ZACHARIAS_SMITH;0;0;0;0;30;19;2;51;0.0007139366452620995
107;CUTHBERT_BINNS;3;18;2;8;18;0;1;50;0.0006999378875118622
108;ROSMERTA;0;0;23;5;0;21;0;49;0.0006859391297616249
109;BLAISE_ZABINI;2;0;0;0;0;46;0;48;0.0006719403720113877
110;PIDWIDGEON;0;0;0;26;14;4;4;48;0.0006719403720113877
111;MYKEW_GREGOROWITSCH;0;0;0;1;0;0;46;47;0.0006579416142611504
112;REGINALD_CATTERMOLE;0;0;0;0;0;0;46;46;0.0006439428565109132
113;BERTHA_JORKINS;0;0;0;43;0;0;0;43;0.0006019465832602014
114;TRAVERS;0;0;0;2;0;0;39;41;0.000573949067759727
115;MARIETTA_EDGECOMBE;0;0;0;0;37;3;0;40;0.0005599503100094898
116;NORBERT;27;0;2;2;2;0;5;38;0.0005319527945090153
117;AMELIA_BONES;2;0;0;0;28;7;0;37;0.000517954036758778
118;GRAHAM_MONTAGUE;0;0;4;1;27;4;0;36;0.0005039552790085408
119;ANTONIN_DOLOHOW;0;0;0;2;14;1;17;34;0.0004759577635080663
120;BELVINA_BURKE;0;2;0;0;0;23;5;30;0.0004199627325071173
121;ROGER_DAVIES;0;0;1;10;17;0;2;30;0.0004199627325071173
122;NAGINI;0;0;0;9;0;2;19;30;0.0004199627325071173
123;HEPZIBAH_SMITH;0;0;0;0;0;27;1;28;0.00039196521700664283
124;AUGUSTA_ROOKWOOD;0;0;0;6;19;0;2;27;0.00037796645925640556
125;WALDEN_MACNAIR;0;0;17;4;5;0;1;27;0.00037796645925640556
126;BRODERICK_BODE;0;0;0;1;25;0;0;26;0.00036396770150616835
127;HANNAH_ABBOTT;3;5;1;2;10;2;3;26;0.00036396770150616835
128;MICHAEL_CORNER;0;0;0;0;16;3;7;26;0.00036396770150616835
129;MALKIN;7;0;2;0;1;14;1;25;0.0003499689437559311
130;STURGIS_PODMORE;0;1;0;0;23;0;0;24;0.00033597018600569386
131;THE_BLOODY_BARRON;9;1;0;3;2;4;4;23;0.0003219714282554566
132;CASSIUS_WARRINGTON;0;0;4;2;17;0;0;23;0.0003219714282554566
133;RONAN;20;0;0;0;2;0;1;23;0.0003219714282554566
134;PADMA_PATIL;0;0;0;15;6;0;1;22;0.0003079726705052194
135;JOHN_DAWLISH;0;0;0;0;9;4;8;21;0.0002939739127549821
136;KENDRA_DUMBLEDORE;0;0;0;0;0;0;21;21;0.0002939739127549821
137;AMYCUS_CARROW;0;0;0;0;0;6;14;20;0.0002799751550047449
138;ARMANDO_DIPPET;0;10;0;1;2;6;1;20;0.0002799751550047449
139;DENNIS_CREEVEY;1;0;0;15;2;2;0;20;0.0002799751550047449
140;LEANNE;0;0;0;0;0;20;0;20;0.0002799751550047449
141;ALBERT_RUNCORN;0;0;0;0;0;0;19;19;0.0002659763972545076
142;IRMA_PRINCE;3;5;0;2;5;4;0;19;0.0002659763972545076
143;NICOLAS_FLAMEL;17;0;0;0;0;0;2;19;0.0002659763972545076
144;PIERS_POLKISS;17;0;0;0;2;0;0;19;0.0002659763972545076
145;PIUS_TICKNESSE;0;0;0;0;0;0;19;19;0.0002659763972545076
146;ALECTO_CARROW;0;0;0;0;0;2;16;18;0.0002519776395042704
147;MAGORIAN;0;0;0;0;17;0;1;18;0.0002519776395042704
148;ROMILDA_VANE;0;0;0;0;0;18;0;18;0.0002519776395042704
149;SCABIOR;0;0;0;0;0;0;17;17;0.00023797888175403314
150;TREVOR;3;0;5;1;5;3;0;17;0.00023797888175403314
151;AIDAN_LYNCH;0;0;0;16;0;0;0;16;0.0002239801240037959
152;MILLICENT_BAGNOLD;1;9;0;0;6;0;0;16;0.0002239801240037959
153;GISELDA_MARCHBANKS;0;0;0;0;16;0;0;16;0.0002239801240037959
154;HESTIA_JONES;0;0;0;0;3;0;13;16;0.0002239801240037959
155;MAFALDA_HOPFKIRCH;0;1;0;0;2;0;13;16;0.0002239801240037959
156;AVERY_SR;0;0;0;3;6;3;3;15;0.00020998136625355866
157;DEMELZA_ROBINS;0;0;0;0;0;15;0;15;0.00020998136625355866
158;GABRIELLE_DELACOUR;0;0;0;5;0;2;7;14;0.00019598260850332142
159;TERRY_BOOT;2;0;0;0;7;1;4;14;0.00019598260850332142
160;ADRIAN_PUCEY;3;2;0;0;8;0;0;13;0.00018198385075308417
161;MILICENT_BULSTRODE;1;8;0;0;4;0;0;13;0.00018198385075308417
162;DEDALUS_DIGGEL;5;0;0;0;4;0;4;13;0.00018198385075308417
163;HASSAN_MOSTAFA;0;0;0;13;0;0;0;13;0.00018198385075308417
164;JIMMY_PEAKES;0;0;0;0;0;12;1;13;0.00018198385075308417
165;SALAZAR_SLYTHERIN;0;10;0;0;0;2;1;13;0.00018198385075308417
166;TOFTY;0;0;0;0;13;0;0;13;0.00018198385075308417
167;WILKIE_TWYCROSS;0;0;0;0;0;13;0;13;0.00018198385075308417
168;MARCUS_BELBY;0;0;0;0;0;12;0;12;0.00016798509300284693
169;PERKINS;0;1;0;1;6;0;4;12;0.00016798509300284693
170;TROY;0;0;0;12;0;0;0;12;0.00016798509300284693
171;CELECTSTINA_WARBECK;0;1;0;0;0;9;1;11;0.0001539863352526097
172;THEODOR_NOTT;1;0;0;2;2;6;0;11;0.0001539863352526097
173;BERTIE_BOTT;4;0;0;3;0;2;1;10;0.00013998757750237245
174;LUCIAN_BOLE;0;0;8;0;2;0;0;10;0.00013998757750237245
175;RITCHIE_COOTE;0;0;0;0;0;10;0;10;0.00013998757750237245
176;MARIETTE_EDGECOMBE;0;0;0;0;10;0;0;10;0.00013998757750237245
177;EDWARD_LUPIN;0;0;0;0;0;0;10;10;0.00013998757750237245
178;EVAN_ROSIER;0;0;0;1;8;0;1;10;0.00013998757750237245
179;FLOREAN_FORTESCUE;0;0;5;0;1;4;0;10;0.00013998757750237245
180;SUSAN_BONES;2;0;0;0;5;3;0;10;0.00013998757750237245
181;AURORA_SINISTRA;0;1;0;3;5;0;0;9;0.0001259888197521352
182;CHARITY_BURBAGE;0;0;0;0;0;0;9;9;0.0001259888197521352
183;ELOISE_MIDGEN;0;0;0;5;2;2;0;9;0.0001259888197521352
184;IGNOTUS_PEVERELL;0;0;0;0;0;0;9;9;0.0001259888197521352
185;MULLET;0;0;0;9;0;0;0;9;0.0001259888197521352
186;PENELOPE_CLEARWATER;0;1;7;0;0;0;1;9;0.0001259888197521352
187;ANTHONY_GOLDSTEIN;0;0;0;0;7;0;1;8;0.00011199006200189795
188;CHUDLEY_CANNONS;0;2;0;3;0;0;3;8;0.00011199006200189795
189;DIRK_CRESSWELL;0;0;0;0;0;1;7;8;0.00011199006200189795
190;VASILY_DIMITROW;0;0;0;8;0;0;0;8;0.00011199006200189795
191;JACK_SLOPER;0;0;0;0;4;4;0;8;0.00011199006200189795
192;ROSE_GRANGER_WEASLEY;0;0;0;0;1;0;7;8;0.00011199006200189795
193;ALEXEI_LEWSKI;0;0;0;7;0;0;0;7;9.799130425166071e-05
194;ARNOLD_FRIEDLICH;0;0;0;3;0;4;0;7;9.799130425166071e-05
195;MALCOLM_BADDOCK;1;0;0;5;1;0;0;7;9.799130425166071e-05
196;PEREGRINE_DERRICK;0;0;5;0;2;0;0;7;9.799130425166071e-05
197;EMMELIE_VANCE;0;0;0;0;3;4;0;7;9.799130425166071e-05
198;SELWYN;0;0;0;0;0;0;7;7;9.799130425166071e-05
199;BARNEY_WEASLEY;0;0;0;0;0;0;6;6;8.399254650142347e-05
200;ELDRED_WORPLE;0;0;0;0;0;6;0;6;8.399254650142347e-05
201;PROF_EVERARD;0;0;0;0;5;1;0;6;8.399254650142347e-05
202;THORFINN_ROWLE;0;0;0;0;0;0;6;6;8.399254650142347e-05
203;VICKY_FROBISHER;0;0;0;3;3;0;0;6;8.399254650142347e-05
204;ALICE_LONGBOTTOM;0;0;0;0;5;0;0;5;6.999378875118622e-05
205;MILES_BLETCHLEY;1;0;0;0;3;0;1;5;6.999378875118622e-05
206;EILEEN_PRINCE;0;0;0;0;0;5;0;5;6.999378875118622e-05
207;MARY_MACDONALD;0;0;0;0;1;0;4;5;6.999378875118622e-05
208;MR_BURKE;0;0;0;0;0;5;0;5;6.999378875118622e-05
209;RODOLPHUS_LESTRANGE;0;0;0;0;4;0;1;5;6.999378875118622e-05
210;ROMULUS_LUPIN;0;0;0;0;0;0;5;5;6.999378875118622e-05
211;SANGUINI;0;0;0;0;0;5;0;5;6.999378875118622e-05
212;WILLY_WIDDERSHINS;0;0;0;0;5;0;0;5;6.999378875118622e-05
213;ALGIE_LONGBOTTOM;3;0;0;0;1;0;0;4;5.5995031000948975e-05
214;ANDREW_KIRKE;0;0;0;0;4;0;0;4;5.5995031000948975e-05
215;NYMPHADORA_TONKS;0;0;0;0;3;0;1;4;5.5995031000948975e-05
216;BARRY_TROTTER;0;0;0;0;1;0;3;4;5.5995031000948975e-05
217;PIERRE_BONACCORD;0;0;0;0;4;0;0;4;5.5995031000948975e-05
218;EURIG_CADWALLADER;0;0;0;0;0;4;0;4;5.5995031000948975e-05
219;FABIAN_PREWETT;0;0;0;0;2;0;2;4;5.5995031000948975e-05
220;DR_FILIBUSTER;0;1;0;2;1;0;0;4;5.5995031000948975e-05
221;MARLENE_MCKINNON;1;0;0;1;1;0;1;4;5.5995031000948975e-05
222;TIBBLES;1;0;0;0;3;0;0;4;5.5995031000948975e-05
223;LIBATIUS_BORAGE;0;0;0;0;0;3;0;3;4.199627325071173e-05
224;HERBERT_CHORLEY;0;0;0;0;0;3;0;3;4.199627325071173e-05
225;DORIS_CROCKFORD;3;0;0;0;0;0;0;3;4.199627325071173e-05
226;HAROLD_DINGLE;0;0;0;0;3;0;0;3;4.199627325071173e-05
227;ERNEST_PRANG;0;0;2;0;0;1;0;3;4.199627325071173e-05
228;GALATEA_MERRYTHOUGHT;0;0;0;0;0;3;0;3;4.199627325071173e-05
229;GIDEON_PREWETT;0;0;0;0;3;0;0;3;4.199627325071173e-05
230;GRISELDA_MARCHBANKS;0;0;0;0;3;0;0;3;4.199627325071173e-05
231;HELENA_RAVENCLAW;0;0;0;0;0;0;3;3;4.199627325071173e-05
232;HELGA_HUFFLEPUFF;0;1;0;0;0;1;1;3;4.199627325071173e-05
233;OLIVE_HORNBY;0;2;0;1;0;0;0;3;4.199627325071173e-05
234;MIRIAM_STROUT;0;0;0;0;3;0;0;3;4.199627325071173e-05
